lucode,code,nlcd,LULC_name,notes,nlud_simple,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type,tree,tree_canopy_percentage,tree_canopy_cover,tree_canopy_colors,c_above,c_below,c_soil,c_dead,c_embedded_storage,c_embedded_emissions,c_annual_emissions
55,1813,81,Hay/Pasture,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
56,1820,82,Cultivated Crops,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,4.793840162,0,65.75263422,0,0,0,0
57,1821,82,Cultivated Crops,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,18.24176156,0,71.45772764,1.6,0,0,0
58,1822,82,Cultivated Crops,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,40.6549639,0,80.96621666,4.266666667,0,0,0
59,1823,82,Cultivated Crops,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,63.96469433,0,90.85504525,7.04,0,0,0
60,1900,90,Woody Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
61,1901,90,Woody Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
62,1902,90,Woody Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
63,1903,90,Woody Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
64,1950,95,Emergent Herbaceuous Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
65,1951,95,Emergent Herbaceuous Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
66,1952,95,Emergent Herbaceuous Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
67,1953,95,Emergent Herbaceuous Wetlands,,1,Waterbody,Natural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
68,2000,0,Background,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
69,2001,0,Background,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
70,2002,0,Background,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
71,2003,0,Background,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
72,2110,11,Open Water,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
73,2111,11,Open Water,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
74,2112,11,Open Water,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
75,2113,11,Open Water,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
76,2120,12,Perennial Ice/Snow,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
77,2121,12,Perennial Ice/Snow,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
78,2122,12,Perennial Ice/Snow,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
79,2123,12,Perennial Ice/Snow,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
80,2210,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,25.49986095,4.08,79.01411479,1.76,51.81402439,212.31,37.03522039
81,2211,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,35.84187923,3.468,82.72998612,3.096,51.81402439,212.31,37.03522039
82,2212,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,53.07857637,2.448,88.923105,5.322666667,51.81402439,212.31,37.03522039
83,2213,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,71.0047414,1.3872,95.36394864,7.6384,51.81402439,212.31,37.03522039
84,2220,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,20.90844667,3.52,72.06732319,0.61,207.2560976,849.24,147.1338816
85,2221,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,31.9391771,2.992,76.82521326,2.1185,207.2560976,849.24,147.1338816
86,2222,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,50.32372781,2.112,84.75503004,4.632666667,207.2560976,849.24,147.1338816
87,2223,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,69.44366054,1.1968,93.0020395,7.2474,207.2560976,849.24,147.1338816
88,2230,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,17.69813636,3.08,61.93838294,0.36,234.070122,954.85,720.4716833
89,2231,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,29.21041333,2.618,68.21561405,1.906,234.070122,954.85,720.4716833
90,2232,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,48.39754162,1.848,78.67766589,4.482666667,234.070122,954.85,720.4716833
91,2233,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,68.35215504,1.0472,89.55819981,7.1624,234.070122,954.85,720.4716833
92,2240,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.98142029,1.76,44.78642515,0.245,267.9065041,3418.485,1805.616283
93,2241,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,23.50120467,1.496,53.63644993,1.80825,267.9065041,3418.485,1805.616283
94,2242,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,44.36751198,1.056,68.38649122,4.413666667,267.9065041,3418.485,1805.616283
95,2243,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,66.06847158,0.5984,83.72653416,7.1233,267.9065041,3418.485,1805.616283
96,2310,31,Barren Land,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,6.8,0,25.5,0,0,0,0
97,2311,31,Barren Land,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,19.94699743,0,37.24298855,1.6,0,0,0
98,2312,31,Barren Land,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,41.8586598,0,56.81463613,4.266666667,0,0,0
99,2313,31,Barren Land,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,64.64678868,0,77.16914961,7.04,0,0,0
100,2410,41,Deciduous Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,85.88498714,0,96.08994273,8.8,0,0,0
101,2411,41,Deciduous Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,85.88498714,0,96.08994273,8.8,0,0,0
102,2412,41,Deciduous Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,85.88498714,0,96.08994273,8.8,0,0,0
103,2413,41,Deciduous Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,85.88498714,0,96.08994273,8.8,0,0,0
104,2420,42,Evergreen Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,105.6849871,0,96.08994273,14.4,0,0,0
105,2421,42,Evergreen Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,105.6849871,0,96.08994273,14.4,0,0,0
106,2422,42,Evergreen Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,105.6849871,0,96.08994273,14.4,0,0,0
107,2423,42,Evergreen Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,105.6849871,0,96.08994273,14.4,0,0,0
108,2430,43,Mixed Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,91.76997429,0,119.1798855,8.8,0,0,0
109,2431,43,Mixed Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,91.76997429,0,119.1798855,8.8,0,0,0
110,2432,43,Mixed Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,91.76997429,0,119.1798855,8.8,0,0,0
111,2433,43,Mixed Forest,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,91.76997429,0,119.1798855,8.8,0,0,0
112,2520,52,Shrub/Scrub,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,47.875,0,68.15477645,0,0,0,0
113,2521,52,Shrub/Scrub,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,54.86074743,0,73.49954853,1.6,0,0,0
114,2522,52,Shrub/Scrub,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,66.5036598,0,82.407502,4.266666667,0,0,0
115,2523,52,Shrub/Scrub,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,78.61228868,0,91.6717736,7.04,0,0,0
116,2710,71,Herbaceuous,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
117,2711,71,Herbaceuous,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
118,2712,71,Herbaceuous,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
119,2713,71,Herbaceuous,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
120,2810,81,Hay/Pasture,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
121,2811,81,Hay/Pasture,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
122,2812,81,Hay/Pasture,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
123,2813,81,Hay/Pasture,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
124,2820,82,Cultivated Crops,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,4.793840162,0,65.75263422,0,0,0,0
125,2821,82,Cultivated Crops,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,18.24176156,0,71.45772764,1.6,0,0,0
126,2822,82,Cultivated Crops,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,40.6549639,0,80.96621666,4.266666667,0,0,0
127,2823,82,Cultivated Crops,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,63.96469433,0,90.85504525,7.04,0,0,0
128,2900,90,Woody Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
129,2901,90,Woody Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
130,2902,90,Woody Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
131,2903,90,Woody Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
132,2950,95,Emergent Herbaceuous Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
133,2951,95,Emergent Herbaceuous Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
134,2952,95,Emergent Herbaceuous Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
135,2953,95,Emergent Herbaceuous Wetlands,,2,Waterbody,Wetland,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
136,3000,0,Background,,3,Waterbody,Artificial,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
